Id,Label,node type,gender,type
Eremit,Eremit,Rolle,männlich,
Missionsgeistlicher,Missionsgeistlicher,Rolle,männlich,
Wirt,Wirt,Rolle,männlich,Rolle
Bruder,Bruder,Rolle,männlich,Rolle
Priester,Priester,Rolle,männlich,Rolle
Missionar,Missionar,Rolle,männlich,Rolle
Sterblicher,Sterblicher,Rolle,männlich,
Kriegsgefangener,Kriegsgefangener,Rolle,männlich,
Missionsprediger,Missionsprediger,Rolle,männlich,
Gotteslästerer,Gotteslästerer,Rolle,männlich,
Mädchen,Mädchen,Rolle,weiblich,Rolle
Führerin,Führerin,Rolle,weiblich,Rolle
weiblich,weiblich,Rolle,weiblich,Rolle
Weib,Weib,Rolle,weiblich,Rolle
Jungweiblich,Jungweiblich,Rolle,weiblich,Rolle
Indianerin,Indianerin,Rolle,weiblich,
Christin,Christin,Rolle,weiblich,
Tochter,Tochter,Rolle,weiblich,Rolle
Geliebte,Geliebte,Rolle,weiblich,Rolle
Liebende,Liebende,Rolle,weiblich,
Hindin,Hindin,Rolle,weiblich,
Wilde,Wilde,Rolle,weiblich,Figur
Königin,Königin,Rolle,weiblich,Figur
Befreierin,Befreierin,Rolle,weiblich,
Spanierin,Spanierin,Rolle,weiblich,
Schwester,Schwester,Rolle,weiblich,Rolle
Gattin,Gattin,Rolle,weiblich,Rolle
Sklavin,Sklavin,Rolle,weiblich,Rolle
Mutter,Mutter,Rolle,weiblich,Rolle
Atala,Atala,Figur,,
Atalas Mutter,Atalas Mutter,Figur,,
Brüder,Brüder,Figur,männlich,Rolle
Celuta,Celuta,Figur,,
Dichter,Dichter,Figur,männlich,Rolle
Endaé,Endaé,Figur,,
Endaés Trauter,Endaés Trauter,Figur,,
weiblichen,weiblichen,Figur,weiblich,Rolle
Gattinnen,Gattinnen,Figur,,
Greise,Greise,Figur,männlich,Rolle
Heiden,Heiden,Figur,männlich,Rolle
Helden,Helden,Figur,,
Homeros,Homeros,Figur,,
Jäger,Jäger,Figur,männlich,Rolle
Jesus,Jesus,Figur,,
Jungweiblichen,Jungweiblichen,Figur,weiblich,Rolle
Kinder,Kinder,Figur,genderneutral,Rolle
Kinder des Urwalds,Kinder des Urwalds,Figur,,
Kriegsoberste,Kriegsoberste,Figur,,
Lopez Schwester,Lopez Schwester,Figur,,
Mägdlein,Mägdlein,Figur,,
Mila,Mila,Figur,,
Nachwuchs,Nachwuchs,Figur,,
Oberhaupt,Oberhaupt,Figur,männlich,Rolle
Pater Aubry,Pater Aubry,Figur,,
Philipp,Philipp,Figur,,
René,René,Figur,,
Saschems,Saschems,Figur,,
Schakta,Schakta,Figur,,
Simaghan,Simaghan,Figur,,
Vater Adler,Vater Adler,Figur,,
Volk,Volk,Figur,genderneutral,Figur
Weiber,Weiber,Figur,weiblich,Rolle
Zauberer,Zauberer,Figur,männlich,Rolle
Abbé Ducroz,Abbé Ducroz,Figur,,
D'Albert,D'Albert,Figur,,
Délben,Délben,Figur,,
Délbens Bruder,Délbens Bruder,Figur,,
Dienerin Mondors,Dienerin Mondors,Figur,,
Duvergier,Duvergier,Figur,,
Eglée,Eglée,Figur,,
ein Richter,ein Richter,Figur,,Figur
eine Gruppe von Männern,eine Gruppe von Männern,Figur,,
eine Nonne,eine Nonne,Figur,,
Elisabeth,Elisabeth,Figur,,Figur
Euphrosine,Euphrosine,Figur,,
Flavia,Flavia,Figur,,
Fontenille,Fontenille,Figur,,
weiblich von Volmar,weiblich von Volmar,Figur,,
Henriette,Henriette,Figur,,Figur
Juliette,Juliette,Figur,,
Justine,Justine,Figur,,
Koch der Duvergier,Koch der Duvergier,Figur,,
Kolleginnen von Juliette,Kolleginnen von Juliette,Figur,,
Laurette,Laurette,Figur,,
Lolotte,Lolotte,Figur,,
Lubin,Lubin,Figur,,
Lurdane,Lurdane,Figur,,
Madame de Noirceuil,Madame de Noirceuil,Figur,,
Minette,Minette,Figur,,
Mondor,Mondor,Figur,,
Mutter von Juliette,Mutter von Juliette,Figur,,
Noirceuil,Noirceuil,Figur,,
Onkel von Laurette,Onkel von Laurette,Figur,,
Pater Télème,Pater Télème,Figur,,
Seinte Elmé,Seinte Elmé,Figur,,
Tochter von Saint-Fond,Tochter von Saint-Fond,Figur,,
Vater von Juliette,Vater von Juliette,Figur,,
vier Mädchen,vier Mädchen,Figur,,
Vorsteherin der Novizen,Vorsteherin der Novizen,Figur,,
Äbtissin,Äbtissin,Rolle,weiblich,Rolle
Bacchantin,Bacchantin,Rolle,weiblich,
Beichtvater,Beichtvater,Rolle,männlich,
Blumengöttin,Blumengöttin,Rolle,weiblich,
Cousine,Cousine,Rolle,weiblich,Rolle
Dame,Dame,Rolle,weiblich,Figur
Dienerin,Dienerin,Rolle,weiblich,
Ehehälfte,Ehehälfte,Rolle,genderneutral,
Engel,Engel,Rolle,genderneutral,Rolle
Erzieherin,Erzieherin,Rolle,weiblich,Rolle
weiblich ohne Ehre,weiblich ohne Ehre,Rolle,weiblich,
Fräulein,Fräulein,Rolle,weiblich,Rolle
Freudenmädchen,Freudenmädchen,Rolle,weiblich,
Freundenknabe,Freundenknabe,Rolle,männlich,
Freundin,Freundin,Rolle,weiblich,Rolle
Frevler,Frevler,Rolle,männlich,
Gaunerin,Gaunerin,Rolle,weiblich,
gefallenes Weib,gefallenes Weib,Rolle,weiblich,
Geizhals,Geizhals,Rolle,männlich,Rolle
Geliebter,Geliebter,Rolle,männlich,Rolle
Gemahlin,Gemahlin,Rolle,weiblich,Rolle
Genossin,Genossin,Rolle,weiblich,
Genossinen,Genossinen,Rolle,weiblich,
Gerichtsvorsitzender,Gerichtsvorsitzender,Rolle,männlich,
Gnaden,Gnaden,Rolle,genderneutral,
Gode,Gode,Rolle,weiblich,
Gott,Gott,Rolle,genderneutral,Figur
Gottesmännlich,Gottesmännlich,Rolle,männlich,
Großvikar,Großvikar,Rolle,männlich,
Gute,Gute,Rolle,weiblich,
Haushälterin,Haushälterin,Rolle,weiblich,Figur
Henker,Henker,Rolle,männlich,Figur
Herr,Herr,Rolle,männlich,Rolle
Herr Dentemar,Herr Dentemar,Rolle,männlich,
Herzchen,Herzchen,Rolle,genderneutral,
Hohepriester,Hohepriester,Rolle,männlich,
Hure,Hure,Rolle,weiblich,Rolle
Huren,Huren,Rolle,weiblich,Rolle
Intimus,Intimus,Rolle,männlich,
junger männlich,junger männlich,Rolle,männlich,Figur
junges Mädchen,junges Mädchen,Rolle,weiblich,Rolle
Jungfernräuber,Jungfernräuber,Rolle,männlich,
Jurist,Jurist,Rolle,männlich,Rolle
Kleine,Kleine,Rolle,weiblich,Rolle
Klosterschülerin,Klosterschülerin,Rolle,weiblich,
Knabe,Knabe,Rolle,männlich,Rolle
Koch,Koch,Rolle,männlich,
Krösus,Krösus,Rolle,männlich,Rolle
Kupplerin,Kupplerin,Rolle,weiblich,Rolle
Lakai,Lakai,Rolle,männlich,
Liebhaber,Liebhaber,Rolle,männlich,Rolle
Lumpenweib,Lumpenweib,Rolle,weiblich,
Lustknabe,Lustknabe,Rolle,männlich,
Lüstling,Lüstling,Rolle,männlich,
Madame,Madame,Rolle,weiblich,Rolle
Matrone,Matrone,Rolle,weiblich,
Meister,Meister,Rolle,männlich,Rolle
Millionär,Millionär,Rolle,männlich,Rolle
Minister,Minister,Rolle,genderneutral,Figur
Minister Saint-Fond,Minister Saint-Fond,Rolle,männlich,
Niederträchtiger,Niederträchtiger,Rolle,männlich,
Nonne,Nonne,Rolle,weiblich,Rolle
Novizin,Novizin,Rolle,weiblich,
Oberin,Oberin,Rolle,weiblich,
Onkel,Onkel,Rolle,männlich,Rolle
Opfer,Opfer,Rolle,genderneutral,Rolle
Pensionärin,Pensionärin,Rolle,weiblich,Rolle
Priesterinnen,Priesterinnen,Rolle,weiblich,
Schelm,Schelm,Rolle,männlich,Rolle
Schelmin,Schelmin,Rolle,weiblich,
Schuft,Schuft,Rolle,männlich,Rolle
Schuldige,Schuldige,Rolle,weiblich,Rolle
Schwiegersohn,Schwiegersohn,Rolle,männlich,Rolle
sechs Männer,sechs Männer,Rolle,männlich,
Sechziger,Sechziger,Rolle,männlich,
Sterbende,Sterbende,Rolle,weiblich,
Teilnehmer,Teilnehmer,Rolle,männlich,
Teure,Teure,Rolle,weiblich,
Unglückliche,Unglückliche,Rolle,weiblich,
Verbrecher,Verbrecher,Rolle,männlich,Figur
Verbrecherin,Verbrecherin,Rolle,weiblich,
Verräter,Verräter,Rolle,männlich,Figur
Vorsteherin,Vorsteherin,Rolle,weiblich,
Wirtin,Wirtin,Rolle,weiblich,Rolle
Wüstling,Wüstling,Rolle,männlich,
Zeugin,Zeugin,Rolle,weiblich,Rolle
Zierpuppe,Zierpuppe,Rolle,weiblich,
zwei Knaben,zwei Knaben,Rolle,männlich,
Abbé,Abbé,Figur,,
Adolf,Adolf,Figur,,
Alter Julian,Alter Julian,Figur,,
Appert,Appert,Figur,,
Autoren,Autoren,Figur,,
Bauer,Bauer,Figur,männlich,Rolle
Betschwester,Betschwester,Figur,,
Bonaparte,Bonaparte,Figur,,
Buchhändler,Buchhändler,Figur,,
Dienstboten,Dienstboten,Figur,,
Dragoner,Dragoner,Figur,männlich,Rolle
Familie Rênal,Familie Rênal,Figur,,
Fouqué,Fouqué,Figur,,
weiblich von Beauharnais,weiblich von Beauharnais,Figur,,
weiblich von Rênal,weiblich von Rênal,Figur,,
weiblich von Rênals Sohn,weiblich von Rênals Sohn,Figur,,
Fürst von Conde,Fürst von Conde,Figur,,
Fürst von Condes weiblich,Fürst von Condes weiblich,Figur,,
Hausweiblich,Hausweiblich,Figur,weiblich,Rolle
Hauslehrer,Hauslehrer,Figur,,
Herr von Rênal,Herr von Rênal,Figur,,
Herren,Herren,Figur,männlich,Rolle
Holzknechte,Holzknechte,Figur,,
Julian,Julian,Figur,,
Julians Brüder,Julians Brüder,Figur,,
Julians Vater,Julians Vater,Figur,,
Kerkermeister,Kerkermeister,Figur,,
Köchin,Köchin,Figur,weiblich,Rolle
Lateiner,Lateiner,Figur,,
Leute,Leute,Figur,genderneutral,Rolle
Marquis von la Mole,Marquis von la Mole,Figur,,
Menschen,Menschen,Figur,genderneutral,Rolle
Nachbar,Nachbar,Figur,männlich,Rolle
Ortsrichter,Ortsrichter,Figur,,
Pariserinnen,Pariserinnen,Figur,,
Patrizier,Patrizier,Figur,,
Pfarrer,Pfarrer,Figur,männlich,Figur
Pfarrer Chélan,Pfarrer Chélan,Figur,,
Prinzessin,Prinzessin,Figur,weiblich,Rolle
Royalist,Royalist,Figur,,
Sägemüller,Sägemüller,Figur,,
Söhne Alter Julian,Söhne Alter Julian,Figur,,
Spießbürger,Spießbürger,Figur,,
Spion,Spion,Figur,,
Stabsarzt,Stabsarzt,Figur,,Figur
Stanislaus-Xaver,Stanislaus-Xaver,Figur,,
Tante,Tante,Figur,weiblich,Rolle
Valenod,Valenod,Figur,,
Vikar,Vikar,Figur,männlich,Rolle
Maslon,Maslon,Figur,,
Stadtgärtner,Stadtgärtner,Figur,,
Chélan,Chélan,Figur,,
Herr Noiroud,Herr Noiroud,Figur,,
zweites Kind der Rênals,zweites Kind der Rênals,Figur,,
Hauptmännlich von Rênal,Hauptmännlich von Rênal,Figur,,
Der Sägemüller,Der Sägemüller,Figur,,
Der Ortsrichter,Der Ortsrichter,Figur,,
Ein Nagelschmied,Ein Nagelschmied,Figur,,
Durand,Durand,Figur,,
Die Köchin,Die Köchin,Figur,,Figur
Jüngster Sohn der Rênals,Jüngster Sohn der Rênals,Figur,,
Herr Charcot von Maugiron,Herr Charcot von Maugiron,Figur,,
Zweites Kind der Rênals,Zweites Kind der Rênals,Figur,,
Brüder von Julian,Brüder von Julian,Figur,,
Elise,Elise,Figur,,
weiblich Derville,weiblich Derville,Figur,,
Herr Valenod,Herr Valenod,Figur,,
Der Buchhändler,Der Buchhändler,Figur,,
Ritter,Ritter,Rolle,männlich,Rolle
Stadtoberhaupt,Stadtoberhaupt,Rolle,genderneutral,
Fünfziger,Fünfziger,Rolle,männlich,
Bürgermeister,Bürgermeister,Rolle,männlich,Rolle
Fabrikant,Fabrikant,Rolle,männlich,
Alter,Alter,Rolle,männlich,Rolle
Jakobiner,Jakobiner,Rolle,männlich,
Bonapartist,Bonapartist,Rolle,männlich,
Junge,Junge,Rolle,männlich,Rolle
Ältester,Ältester,Rolle,männlich,Rolle
Dreißigerin,Dreißigerin,Rolle,weiblich,
Philantrop,Philantrop,Rolle,männlich,
Lieber,Lieber,Rolle,männlich,Rolle
alter männlich,alter männlich,Rolle,männlich,
Großgrundbesitzer,Großgrundbesitzer,Rolle,männlich,
Gemütsmensch,Gemütsmensch,Rolle,genderneutral,
Menschenfreund,Menschenfreund,Rolle,männlich,
Führer,Führer,Rolle,männlich,Rolle
Kerl,Kerl,Rolle,männlich,Rolle
Fremder,Fremder,Rolle,männlich,Rolle
Bulldogge,Bulldogge,Rolle,genderneutral,
Vorstand,Vorstand,Rolle,genderneutral,Rolle
Armenamtsvorstandes,Armenamtsvorstandes,Rolle,genderneutral,
Söhnchen,Söhnchen,Rolle,männlich,Rolle
Ehrenlegionär,Ehrenlegionär,Rolle,männlich,
Vetter,Vetter,Rolle,männlich,Rolle
Bester,Bester,Rolle,männlich,Rolle
Bursche,Bursche,Rolle,männlich,Rolle
keine Diplomatin,keine Diplomatin,Rolle,weiblich,
Hauptmännlich,Hauptmännlich,Rolle,männlich,Rolle
Aristokrat,Aristokrat,Rolle,männlich,
Gesuchter,Gesuchter,Rolle,männlich,Rolle
Leser,Leser,Rolle,männlich,Rolle
Mißhandelter,Mißhandelter,Rolle,männlich,
Faulpelz,Faulpelz,Rolle,genderneutral,
Lümmel,Lümmel,Rolle,männlich,Rolle
Schwächling,Schwächling,Rolle,genderneutral,Rolle
Kriegsmännlich,Kriegsmännlich,Rolle,männlich,Rolle
Müller,Müller,Rolle,männlich,
Leseratte,Leseratte,Rolle,genderneutral,
Wicht,Wicht,Rolle,männlich,
Heuchler,Heuchler,Rolle,männlich,
Erzieher,Erzieher,Rolle,männlich,Rolle
Schafskopf,Schafskopf,Rolle,genderneutral,Rolle
Leckermaul,Leckermaul,Rolle,genderneutral,
Holzhändler,Holzhändler,Rolle,männlich,
Bauernkind,Bauernkind,Rolle,genderneutral,
Nagelschmied,Nagelschmied,Rolle,männlich,
Artillerieleutnant,Artillerieleutnant,Rolle,männlich,
Ehrenmännlich,Ehrenmännlich,Rolle,männlich,Rolle
Gottesgelehrter,Gottesgelehrter,Rolle,männlich,
Musterschüler,Musterschüler,Rolle,männlich,
Feigling,Feigling,Rolle,männlich,Rolle
Bauernjunge,Bauernjunge,Rolle,männlich,
Schneider,Schneider,Rolle,männlich,Rolle
Herrschaften,Herrschaften,Rolle,genderneutral,Rolle
Ankömmling,Ankömmling,Rolle,genderneutral,
junger Herr,junger Herr,Rolle,männlich,
Eltern,Eltern,Rolle,genderneutral,Rolle
Kleiner,Kleiner,Rolle,männlich,Rolle
Landrat,Landrat,Rolle,männlich,Rolle
Unnahbarer,Unnahbarer,Rolle,männlich,
Abgott,Abgott,Rolle,genderneutral,
Bürschchen,Bürschchen,Rolle,männlich,
Findelkind,Findelkind,Rolle,genderneutral,
Kammerjungfer,Kammerjungfer,Rolle,weiblich,
Herrin,Herrin,Rolle,weiblich,Rolle
Schulmeister,Schulmeister,Rolle,männlich,Rolle
Erbin,Erbin,Rolle,weiblich,Rolle
Schlucker,Schlucker,Rolle,männlich,Rolle
kein Lump,kein Lump,Rolle,männlich,
Feind,Feind,Rolle,männlich,Rolle
Verehrteste,Verehrteste,Rolle,weiblich,
Liberaler,Liberaler,Rolle,männlich,
Theologe,Theologe,Rolle,männlich,
Gebieter,Gebieter,Rolle,männlich,Rolle
Student,Student,Rolle,männlich,Rolle
Hausherr,Hausherr,Rolle,männlich,Rolle
Seelsorger,Seelsorger,Rolle,männlich,
Narr,Narr,Rolle,männlich,Rolle
Bauersmännlich,Bauersmännlich,Rolle,männlich,
Jungfer,Jungfer,Rolle,weiblich,Rolle
Handwerker,Handwerker,Rolle,männlich,Figur
Nebenbuhlerin,Nebenbuhlerin,Rolle,weiblich,
Zuschauerin,Zuschauerin,Rolle,weiblich,
Kleinstädterin,Kleinstädterin,Rolle,weiblich,
Grandseigneur,Grandseigneur,Rolle,männlich,
Ehegemahl,Ehegemahl,Rolle,männlich,
Gebieterin,Gebieterin,Rolle,weiblich,
Base,Base,Rolle,weiblich,Rolle
Neunzehnjähriger,Neunzehnjähriger,Rolle,männlich,
Monsieur Saint-Martin,Monsieur Saint-Martin,Figur,,
Madame de Verneuil,Madame de Verneuil,Figur,,
Familie Lenoncourt,Familie Lenoncourt,Figur,,
Madame de Chessel,Madame de Chessel,Figur,,
Vater des Comte de Mortsauf,Vater des Comte de Mortsauf,Figur,,
Comte de Mortsauf,Comte de Mortsauf,Figur,,
Jaques Mortsauf,Jaques Mortsauf,Figur,,
Madeleine Mortsauf,Madeleine Mortsauf,Figur,,
Monsieur de Chessel,Monsieur de Chessel,Figur,,
Müllerburschen,Müllerburschen,Figur,,
Henriette de Mortsauf,Henriette de Mortsauf,Figur,,
Schwestern von Felix,Schwestern von Felix,Figur,,
Monsieur Lepître,Monsieur Lepître,Figur,,
Marquise de Listomère,Marquise de Listomère,Figur,,
Kameraden,Kameraden,Figur,männlich,Rolle
Vater von Felix,Vater von Felix,Figur,,
Charles de Vandenesse (Bruder),Charles de Vandenesse (Bruder),Figur,,
Mademoiselle Caroline (Gouvernante),Mademoiselle Caroline (Gouvernante),Figur,,
Natalie,Natalie,Figur,,
Felix de Vandenesse,Felix de Vandenesse,Figur,,
Das Kind an sich,Das Kind an sich,Figur,,
Mutter von Felix,Mutter von Felix,Figur,,
Geschwister von Felix,Geschwister von Felix,Figur,,
Neugeborenes,Neugeborenes,Rolle,genderneutral,
Enterbter,Enterbter,Rolle,männlich,
Träumer,Träumer,Rolle,männlich,Rolle
Gouvernante,Gouvernante,Rolle,weiblich,Rolle
Heimtücker,Heimtücker,Rolle,männlich,
Lügner,Lügner,Rolle,männlich,Rolle
Augapfel,Augapfel,Rolle,genderneutral,
Externer,Externer,Rolle,männlich,
Zielscheibe,Zielscheibe,Rolle,genderneutral,
Spaßvogel,Spaßvogel,Rolle,genderneutral,
Erfinder,Erfinder,Rolle,männlich,Rolle
Portier,Portier,Rolle,männlich,Rolle
Schmugger,Schmugger,Rolle,männlich,
Vertrauter,Vertrauter,Rolle,männlich,Rolle
Unterhändler,Unterhändler,Rolle,männlich,
Dolmetscher,Dolmetscher,Rolle,männlich,Figur
Fürsprecher,Fürsprecher,Rolle,männlich,
Interner,Interner,Rolle,männlich,
Schuldner,Schuldner,Rolle,männlich,Figur
Professor,Professor,Rolle,männlich,Rolle
Kammerdiener,Kammerdiener,Rolle,männlich,
Edler,Edler,Rolle,männlich,Rolle
Vogel,Vogel,Rolle,männlich,Rolle
Rabenmutter,Rabenmutter,Rolle,weiblich,
Schauspieler,Schauspieler,Rolle,männlich,Rolle
Zwanzigjähriger,Zwanzigjähriger,Rolle,männlich,
Listomères,Listomères,Rolle,genderneutral,
Herzloser,Herzloser,Rolle,genderneutral,
Wehrloser,Wehrloser,Rolle,männlich,
Nachbarin,Nachbarin,Rolle,weiblich,Rolle
Monsieur,Monsieur,Rolle,männlich,Rolle
Auserwählte,Auserwählte,Rolle,weiblich,
Tier,Tier,Rolle,genderneutral,Rolle
Hund,Hund,Rolle,genderneutral,Rolle
Eigentümer,Eigentümer,Rolle,männlich,
Sproß,Sproß,Rolle,genderneutral,
von Lenoncourt,von Lenoncourt,Rolle,genderneutral,
Comtesse,Comtesse,Rolle,weiblich,
Gemahl,Gemahl,Rolle,männlich,Rolle
Messieur,Messieur,Rolle,männlich,
Gastgeber,Gastgeber,Rolle,männlich,Rolle
Schloßherrin,Schloßherrin,Rolle,weiblich,
Begleiter,Begleiter,Rolle,männlich,Rolle
Gastgeberin,Gastgeberin,Rolle,weiblich,
Sprecherin,Sprecherin,Rolle,weiblich,
Mona Lisa,Mona Lisa,Rolle,weiblich,
Naturmensch,Naturmensch,Rolle,genderneutral,
Wachtposten,Wachtposten,Rolle,männlich,
Schatz,Schatz,Rolle,genderneutral,Rolle
Comte,Comte,Rolle,männlich,
Zigeunermädchen,Zigeunermädchen,Rolle,weiblich,
Aal,Aal,Rolle,weiblich,
Wolf,Wolf,Rolle,männlich,
Edelmännlich,Edelmännlich,Rolle,männlich,Rolle
Schlendrian,Schlendrian,Rolle,männlich,
Krautjunker,Krautjunker,Rolle,männlich,
Grundbesitzer,Grundbesitzer,Rolle,männlich,
Liebe,Liebe,Rolle,weiblich,Rolle
D.,D.,Rolle,genderneutral,
Generaldirektor,Generaldirektor,Rolle,männlich,
Fürst,Fürst,Rolle,männlich,Rolle
Emigrant,Emigrant,Rolle,männlich,Rolle
Verbannter,Verbannter,Rolle,männlich,
Armer,Armer,Rolle,männlich,
Mademoiselle de Lenoncourt,Mademoiselle de Lenoncourt,Rolle,weiblich,
Adoptivmutter,Adoptivmutter,Rolle,weiblich,
Philosoph,Philosoph,Rolle,männlich,Rolle
Nichte,Nichte,Rolle,weiblich,Rolle
Neugeborener,Neugeborener,Rolle,männlich,
Catherine,Catherine,Figur,,
die Melkweiblich,die Melkweiblich,Figur,,
Edgar Linton,Edgar Linton,Figur,,
ein Ackerknecht,ein Ackerknecht,Figur,,
ein junger männlich,ein junger männlich,Figur,,Figur
ein Knecht,ein Knecht,Figur,,Figur
ein Sohn der Earnshaws,ein Sohn der Earnshaws,Figur,,
eine junge weiblich,eine junge weiblich,Figur,,
eine Köchin,eine Köchin,Figur,,
Mr. Heathcliff,Mr. Heathcliff,Figur,,
Frances,Frances,Figur,,
Hareton Earnshaw,Hareton Earnshaw,Figur,,
Hindley,Hindley,Figur,,
Isabella Linton,Isabella Linton,Figur,,
Joseph,Joseph,Figur,,Figur
Mr. Earnshaw,Mr. Earnshaw,Figur,,
Mr. Linton,Mr. Linton,Figur,,
Mr. Lockwood,Mr. Lockwood,Figur,,
Mrs. Dean,Mrs. Dean,Figur,,
Mrs. Heathcliff,Mrs. Heathcliff,Figur,,
Mrs. Linton,Mrs. Linton,Figur,,
Mutter von Mr. Lockwood,Mutter von Mr. Lockwood,Figur,,
Zillah,Zillah,Figur,,
zwei Hundebesitzer,zwei Hundebesitzer,Figur,,
Cathy Linton,Cathy Linton,Figur,,
Earnshaw,Earnshaw,Figur,,
Catherine Earnshaw,Catherine Earnshaw,Figur,,
Cathrine Heathcliff,Cathrine Heathcliff,Figur,,
Hindley Earnshaw,Hindley Earnshaw,Figur,,
Jabes Branderham,Jabes Branderham,Figur,,
Catherin Linton,Catherin Linton,Figur,,
Catherin Earnshaw,Catherin Earnshaw,Figur,,
Mrs. Earnshaw,Mrs. Earnshaw,Figur,,
Hindsley,Hindsley,Figur,,
Mr. heathcliff,Mr. heathcliff,Figur,,
Heathcliff,Heathcliff,Figur,,
Fances,Fances,Figur,,
Robert,Robert,Figur,,
Gutsherr,Gutsherr,Rolle,männlich,Rolle
Pächter,Pächter,Rolle,männlich,Rolle
Gesinde,Gesinde,Rolle,genderneutral,Rolle
Zigeuner,Zigeuner,Rolle,männlich,
Landesjunker,Landesjunker,Rolle,männlich,
Schnecke,Schnecke,Rolle,genderneutral,
Knecht,Knecht,Rolle,männlich,Rolle
Schutzengel,Schutzengel,Rolle,weiblich,
Tölpel,Tölpel,Rolle,genderneutral,Rolle
Landarbeiter,Landarbeiter,Rolle,männlich,
Bauernlümmel,Bauernlümmel,Rolle,männlich,Rolle
Schwiegertochter,Schwiegertochter,Rolle,weiblich,Rolle
Fee,Fee,Rolle,weiblich,Rolle
Bär,Bär,Rolle,männlich,Rolle
Häuchler,Häuchler,Rolle,männlich,
Verworfener,Verworfener,Rolle,männlich,Rolle
Auswurf,Auswurf,Rolle,männlich,
Hexe,Hexe,Rolle,weiblich,
Übeltäter,Übeltäter,Rolle,männlich,
Pflegel,Pflegel,Rolle,männlich,
Catherine Heathcliff,Catherine Heathcliff,Rolle,weiblich,
Ackerknecht,Ackerknecht,Rolle,männlich,
Tyrann,Tyrann,Rolle,männlich,Rolle
Landstreicher,Landstreicher,Rolle,männlich,
Sünder,Sünder,Rolle,männlich,Rolle
Angreifer,Angreifer,Rolle,männlich,
Störenfried,Störenfried,Rolle,männlich,
Eindringling,Eindringling,Rolle,männlich,
Magd,Magd,Rolle,weiblich,Rolle
Racker,Racker,Rolle,genderneutral,
Wechselweib,Wechselweib,Rolle,weiblich,
Zeuge,Zeuge,Rolle,männlich,Rolle
Cathy,Cathy,Rolle,weiblich,
Herzensliebling,Herzensliebling,Rolle,weiblich,
Gans,Gans,Rolle,genderneutral,
Schaf,Schaf,Rolle,genderneutral,
weiblichenzimmer,weiblichenzimmer,Rolle,weiblich,Rolle
Klatschbase,Klatschbase,Rolle,weiblich,
Witwe,Witwe,Rolle,weiblich,Rolle
Fremde,Fremde,Rolle,genderneutral,Rolle
Einheimische,Einheimische,Rolle,weiblich,
Verwandte,Verwandte,Rolle,weiblich,Figur
Ding,Ding,Rolle,genderneutral,Rolle
Vorgänger,Vorgänger,Rolle,männlich,
Neffe,Neffe,Rolle,männlich,Rolle
Letzer,Letzer,Rolle,männlich,
Letzte,Letzte,Rolle,weiblich,
Patron,Patron,Rolle,männlich,Rolle
Grobian,Grobian,Rolle,männlich,Rolle
