Id,Label,node type,gender,reference
Mann,Mann,Rolle,männlich,
Cousine,Cousine,Rolle,weiblich,
Eltern,Eltern,Rolle,genderneutral,
Schlingel,Schlingel,Rolle,genderneutral,
Mädchen,Mädchen,Rolle,weiblich,
Verlassene,Verlassene,Rolle,weiblich,
Tante,Tante,Rolle,weiblich,
Schneiderin,Schneiderin,Rolle,weiblich,
Mutter,Mutter,Rolle,weiblich,
Freundin,Freundin,Rolle,weiblich,
Achille,Achille,Rolle,männlich,
Windhund,Windhund,Rolle,männlich,
Jude,Jude,Rolle,männlich,
Vikar,Vikar,Rolle,männlich,
Verkäufer,Verkäufer,Rolle,männlich,
Kätzchen,Kätzchen,Rolle,genderneutral,
Puttchen,Puttchen,Rolle,genderneutral,
Verkäuferin,Verkäuferin,Rolle,weiblich,
Onkel,Onkel,Rolle,männlich,
Geschäftsfrau,Geschäftsfrau,Rolle,weiblich,
Ladendiener,Ladendiener,Rolle,männlich,
Fräulein,Fräulein,Rolle,weiblich,
junge Frau,junge Frau,Rolle,weiblich,
Blondine,Blondine,Rolle,weiblich,
Junge,Junge,Rolle,männlich,
alte Dame,alte Dame,Rolle,weiblich,
Dame,Dame,Rolle,weiblich,
Ehemann,Ehemann,Rolle,männlich,
junges Mädchen,junges Mädchen,Rolle,weiblich,
Mademoiselle,Mademoiselle,Rolle,weiblich,
Kleine,Kleine,Rolle,weiblich,
Jungverheiratete,Jungverheiratete,Rolle,weiblich,
Nachbarin,Nachbarin,Rolle,weiblich,
Kind,Kind,Rolle,genderneutral,
Bruder,Bruder,Rolle,männlich,
Frauenzimmer,Frauenzimmer,Rolle,weiblich,
Schwachkopf,Schwachkopf,Rolle,genderneutral,
Bürochef,Bürochef,Rolle,männlich,
Königin,Königin,Rolle,weiblich,
Beste,Beste,Rolle,weiblich,
Blödling,Blödling,Rolle,männlich,
Gans,Gans,Rolle,weiblich,
Mensch,Mensch,Rolle,genderneutral,
Märtyrer,Märtyrer,Rolle,männlich,
Schlampe,Schlampe,Rolle,weiblich,
Dreckstück,Dreckstück,Rolle,weiblich,
Liebe,Liebe,Rolle,weiblich,
Prahlhans,Prahlhans,Rolle,männlich,
Angestellter,Angestellter,Rolle,männlich,
Lohnempfänger,Lohnempfänger,Rolle,männlich,
Blödhammel,Blödhammel,Rolle,männlich,
Eléonore,Eléonore,Rolle,weiblich,
Nutte,Nutte,Rolle,weiblich,
Pauker,Pauker,Rolle,männlich,
Papa,Papa,Rolle,männlich,
Lügner,Lügner,Rolle,männlich,
Saufbruder,Saufbruder,Rolle,männlich,
Ausbeuter,Ausbeuter,Rolle,männlich,
Jungfer,Jungfer,Rolle,weiblich,
junge Dame,junge Dame,Rolle,weiblich,
Mama,Mama,Rolle,weiblich,
Löwin,Löwin,Rolle,weiblich,
Rechtsanwalt,Rechtsanwalt,Rolle,männlich,
Geliebte,Geliebte,Rolle,weiblich,
Pute,Pute,Rolle,weiblich,
Geschöpf,Geschöpf,Rolle,genderneutral,
Narr,Narr,Rolle,männlich,
Gatte,Gatte,Rolle,männlich,
Schwester,Schwester,Rolle,weiblich,
Unglückselige,Unglückselige,Rolle,weiblich,
Jungfrau,Jungfrau,Rolle,weiblich,
Schlosshund,Schlosshund,Rolle,genderneutral,
Liebes,Liebes,Rolle,genderneutral,
Trine,Trine,Rolle,weiblich,
Range,Range,Rolle,weiblich,
Hund,Hund,Rolle,genderneutral,
Tier,Tier,Rolle,genderneutral,
Pfuscherin,Pfuscherin,Rolle,weiblich,
Witwer,Witwer,Rolle,männlich,
Narcisse,Narcisse,Rolle,männlich,
Der Blöde,Der Blöde,Rolle,männlich,
Dirne,Dirne,Rolle,weiblich,
Bretonin,Bretonin,Rolle,weiblich,
Dienstmädchen,Dienstmädchen,Rolle,weiblich,
Gott,Gott,Rolle,genderneutral,
Frauchen,Frauchen,Rolle,weiblich,
Frömmlerin,Frömmlerin,Rolle,weiblich,
Verrückter,Verrückter,Rolle,männlich,
Lügnerin,Lügnerin,Rolle,weiblich,
Weib,Weib,Rolle,weiblich,
Gauner,Gauner,Rolle,männlich,
Nachbar,Nachbar,Rolle,männlich,
Octave,Octave,Figur,,
Hausmädchen,Hausmädchen,Genderrolle,,
Adèle,Adèle,Figur,,
Angèle Campardon,Angèle Campardon,Figur,,
Berthe,Berthe,Figur,,
Concierge,Concierge,Figur,,
der Architekt Campardon,der Architekt Campardon,Figur,,
Die alte Frau Dambreville,Die alte Frau Dambreville,Figur,,
ein Angestelltenehepaar,ein Angestelltenehepaar,Figur,,
ein Dienstmädchen,ein Dienstmädchen,Figur,,
ein Gerichtsvollzieher,ein Gerichtsvollzieher,Figur,,
ein Herr,ein Herr,Figur,,
ein stellvertretender Bürovorsteher,ein stellvertretender Bürovorsteher,Figur,,
eine junge Frau,eine junge Frau,Figur,,
Victoire,Victoire,Figur,,
Frau Dambreville,Frau Dambreville,Figur,,
Frau Gourd,Frau Gourd,Figur,,
Frau Jezeur,Frau Jezeur,Figur,,
Frau Josserand,Frau Josserand,Figur,,
Frau Juzeur,Frau Juzeur,Figur,,
Frau Pichon,Frau Pichon,Figur,,
Gasparine,Gasparine,Figur,,
Gueulin,Gueulin,Figur,,
gute Bürger,gute Bürger,Figur,,
Hector Trublot,Hector Trublot,Figur,,
Hédouin,Hédouin,Figur,,
Herr Duveyrier,Herr Duveyrier,Figur,,
Herr Gourd,Herr Gourd,Figur,,
Herr Josserand,Herr Josserand,Figur,,
Herr und Frau Deleuze,Herr und Frau Deleuze,Figur,,
Hortense,Hortense,Figur,,
Kerle,Kerle,Figur,,
Madame Valérie,Madame Valérie,Figur,,
Menschen,Menschen,Figur,,
Onkel Bachelard,Onkel Bachelard,Figur,,
Rose Campardon,Rose Campardon,Figur,,
Saturnin,Saturnin,Figur,,
Sohn von Deleuze,Sohn von Deleuze,Figur,,
Sohn von Frau Josserand,Sohn von Frau Josserand,Figur,,
Sohn von Madame Valérie,Sohn von Madame Valérie,Figur,,
Tante von Lisa,Tante von Lisa,Figur,,
Théophile Vabre,Théophile Vabre,Figur,,
Vater von Hector Trublot,Vater von Hector Trublot,Figur,,
Verdier,Verdier,Figur,,
Victor,Victor,Figur,,
Auguste Vabre,Auguste Vabre,Figur,,
Töchter Josserands,Töchter Josserands,Figur,,
Zofe von Rose Campardon,Zofe von Rose Campardon,Figur,,
Herr Campardon,Herr Campardon,Figur,,
Eine Frau,Eine Frau,Figur,,
Frau Vabre,Frau Vabre,Figur,,
Der Hausbesitzer,Der Hausbesitzer,Figur,,
Die Josserands,Die Josserands,Figur,,
Die Pichons,Die Pichons,Figur,,
Herr Domergue,Herr Domergue,Figur,,
Frau Domergue,Frau Domergue,Figur,,
Tante von Gasparine,Tante von Gasparine,Figur,,
Herr Mouret,Herr Mouret,Figur,,
Frau Mouret,Frau Mouret,Figur,,
Abbé Mauduit,Abbé Mauduit,Figur,,
Herr Hédouin,Herr Hédouin,Figur,,
Herr Deleuze,Herr Deleuze,Figur,,
Frau Hédouin,Frau Hédouin,Figur,,
Alexandre,Alexandre,Figur,,
Kaufmannsfrau,Kaufmannsfrau,Figur,,
Herr Louhette,Herr Louhette,Figur,,
Frau Louhette,Frau Louhette,Figur,,
Léon Josserand,Léon Josserand,Figur,,
Herr Dambreville,Herr Dambreville,Figur,,
Ein Dienstmädchen,Ein Dienstmädchen,Figur,,
Verdiers Geliebte,Verdiers Geliebte,Figur,,
eine Köchin,eine Köchin,Figur,,
Juzeur,Juzeur,Figur,,
der junge Mann,der junge Mann,Genderrolle,,
